2025-05-14 08:53:22.498+02	1	2774
2025-05-14 08:53:22.498+02	2	0
2025-05-14 08:53:22.498+02	3	0
2025-05-14 08:53:22.835+02	1	2772
2025-05-14 08:53:22.836+02	2	0
2025-05-14 08:53:22.836+02	3	0
2025-05-14 08:53:22.852+02	1	2773
2025-05-14 08:53:22.853+02	2	0
2025-05-14 08:53:22.853+02	3	0
2025-05-14 08:53:22.886+02	1	2774
2025-05-14 08:53:22.887+02	2	0
2025-05-14 08:53:22.887+02	3	0
2025-05-14 08:53:22.904+02	1	2773
2025-05-14 08:53:22.905+02	2	0
2025-05-14 08:53:22.905+02	3	0
2025-05-14 08:53:22.922+02	1	2773
2025-05-14 08:53:22.923+02	2	0
2025-05-14 08:53:22.923+02	3	0
2025-05-14 08:53:22.943+02	1	2772
2025-05-14 08:53:22.944+02	2	0
2025-05-14 08:53:22.944+02	3	0
2025-05-14 08:53:22.959+02	1	2773
2025-05-14 08:53:22.96+02	2	0
2025-05-14 08:53:22.96+02	3	0
2025-05-14 08:53:23.016+02	1	2774
2025-05-14 08:53:23.017+02	2	0
2025-05-14 08:53:23.017+02	3	0
2025-05-14 08:53:23.034+02	1	2772
2025-05-14 08:53:23.034+02	2	0
2025-05-14 08:53:23.034+02	3	0
2025-05-14 08:53:23.052+02	1	2772
2025-05-14 08:53:23.052+02	2	0
2025-05-14 08:53:23.052+02	3	0
2025-05-14 08:53:23.067+02	1	2774
2025-05-14 08:53:23.068+02	2	0
2025-05-14 08:53:23.068+02	3	0
2025-05-14 08:53:23.104+02	1	2772
2025-05-14 08:53:23.105+02	2	0
2025-05-14 08:53:23.105+02	3	0
2025-05-14 08:53:23.122+02	1	2772
2025-05-14 08:53:23.123+02	2	0
2025-05-14 08:53:23.123+02	3	0
2025-05-14 08:53:23.142+02	1	2773
2025-05-14 08:53:23.143+02	2	0
2025-05-14 08:53:23.143+02	3	0
2025-05-14 08:53:23.157+02	1	2772
2025-05-14 08:53:23.158+02	2	0
2025-05-14 08:53:23.158+02	3	0
2025-05-14 08:53:23.18+02	1	2773
2025-05-14 08:53:23.181+02	2	0
2025-05-14 08:53:23.181+02	3	0
2025-05-14 08:53:23.199+02	1	2773
2025-05-14 08:53:23.199+02	2	0
2025-05-14 08:53:23.199+02	3	0
2025-05-14 08:53:23.219+02	1	2772
2025-05-14 08:53:23.22+02	2	0
2025-05-14 08:53:23.22+02	3	0
2025-05-14 08:53:23.238+02	1	2772
2025-05-14 08:53:23.239+02	2	0
2025-05-14 08:53:23.239+02	3	0
2025-05-14 08:53:23.255+02	1	2772
2025-05-14 08:53:23.256+02	2	0
2025-05-14 08:53:23.256+02	3	0
2025-05-14 08:53:23.271+02	1	2773
2025-05-14 08:53:23.272+02	2	0
2025-05-14 08:53:23.272+02	3	0
2025-05-14 08:53:23.325+02	1	2772
2025-05-14 08:53:23.326+02	2	0
2025-05-14 08:53:23.326+02	3	0
2025-05-14 08:53:23.346+02	1	2772
2025-05-14 08:53:23.347+02	2	0
2025-05-14 08:53:23.347+02	3	0
2025-05-14 08:53:23.363+02	1	2772
2025-05-14 08:53:23.363+02	2	0
2025-05-14 08:53:23.363+02	3	0
2025-05-14 08:53:23.393+02	1	2772
2025-05-14 08:53:23.394+02	2	0
2025-05-14 08:53:23.394+02	3	0
2025-05-14 08:53:23.412+02	1	2772
2025-05-14 08:53:23.413+02	2	0
2025-05-14 08:53:23.413+02	3	0
2025-05-14 08:53:23.431+02	1	2771
2025-05-14 08:53:23.431+02	2	0
2025-05-14 08:53:23.431+02	3	0
2025-05-14 08:53:23.449+02	1	2772
2025-05-14 08:53:23.45+02	2	0
2025-05-14 08:53:23.45+02	3	0
2025-05-14 08:53:23.467+02	1	2772
2025-05-14 08:53:23.468+02	2	0
2025-05-14 08:53:23.468+02	3	0
2025-05-14 08:53:23.482+02	1	2773
2025-05-14 08:53:23.483+02	2	0
2025-05-14 08:53:23.483+02	3	0
2025-05-14 08:53:23.5+02	1	2772
2025-05-14 08:53:23.501+02	2	0
2025-05-14 08:53:23.501+02	3	0
2025-05-14 08:53:23.518+02	1	2772
2025-05-14 08:53:23.519+02	2	0
2025-05-14 08:53:23.519+02	3	0
2025-05-14 08:53:23.537+02	1	2772
2025-05-14 08:53:23.538+02	2	0
2025-05-14 08:53:23.538+02	3	0
2025-05-14 08:53:23.559+02	1	2772
2025-05-14 08:53:23.559+02	2	0
2025-05-14 08:53:23.559+02	3	0
2025-05-14 08:53:23.574+02	1	2772
2025-05-14 08:53:23.575+02	2	0
2025-05-14 08:53:23.575+02	3	0
2025-05-14 08:53:23.593+02	1	2772
2025-05-14 08:53:23.593+02	2	0
2025-05-14 08:53:23.593+02	3	0
2025-05-14 08:53:23.61+02	1	2772
2025-05-14 08:53:23.611+02	2	0
2025-05-14 08:53:23.611+02	3	0
2025-05-14 08:53:23.63+02	1	2772
2025-05-14 08:53:23.631+02	2	0
2025-05-14 08:53:23.631+02	3	0
2025-05-14 08:53:23.647+02	1	2771
2025-05-14 08:53:23.648+02	2	0
2025-05-14 08:53:23.648+02	3	0
2025-05-14 08:53:23.665+02	1	2772
2025-05-14 08:53:23.666+02	2	0
2025-05-14 08:53:23.666+02	3	0
2025-05-14 08:53:23.681+02	1	2773
2025-05-14 08:53:23.682+02	2	0
2025-05-14 08:53:23.682+02	3	0
2025-05-14 08:53:23.7+02	1	2772
2025-05-14 08:53:23.701+02	2	0
2025-05-14 08:53:23.701+02	3	0
2025-05-14 08:53:23.719+02	1	2771
2025-05-14 08:53:23.72+02	2	0
2025-05-14 08:53:23.72+02	3	0
2025-05-14 08:53:23.74+02	1	2771
2025-05-14 08:53:23.741+02	2	0
2025-05-14 08:53:23.741+02	3	0
2025-05-14 08:53:23.758+02	1	2772
2025-05-14 08:53:23.759+02	2	0
2025-05-14 08:53:23.759+02	3	0
2025-05-14 08:53:23.775+02	1	2772
2025-05-14 08:53:23.776+02	2	0
2025-05-14 08:53:23.776+02	3	0
2025-05-14 08:53:23.792+02	1	2773
2025-05-14 08:53:23.794+02	2	0
2025-05-14 08:53:23.794+02	3	0
2025-05-14 08:53:23.812+02	1	2771
2025-05-14 08:53:23.813+02	2	0
2025-05-14 08:53:23.813+02	3	0
2025-05-14 08:53:23.833+02	1	2772
2025-05-14 08:53:23.834+02	2	0
2025-05-14 08:53:23.834+02	3	0
2025-05-14 08:53:23.854+02	1	2772
2025-05-14 08:53:23.855+02	2	0
2025-05-14 08:53:23.855+02	3	0
2025-05-14 08:53:23.872+02	1	2772
2025-05-14 08:53:23.873+02	2	0
2025-05-14 08:53:23.873+02	3	0
2025-05-14 08:53:23.888+02	1	2772
2025-05-14 08:53:23.889+02	2	0
2025-05-14 08:53:23.889+02	3	0
2025-05-14 08:53:23.927+02	1	2772
2025-05-14 08:53:23.928+02	2	0
2025-05-14 08:53:23.928+02	3	0
2025-05-14 08:53:23.946+02	1	2771
2025-05-14 08:53:23.947+02	2	0
2025-05-14 08:53:23.947+02	3	0
2025-05-14 08:53:23.966+02	1	2771
2025-05-14 08:53:23.967+02	2	0
2025-05-14 08:53:23.967+02	3	0
2025-05-14 08:53:23.983+02	1	2772
2025-05-14 08:53:23.984+02	2	0
2025-05-14 08:53:23.984+02	3	0
2025-05-14 08:53:24.007+02	1	2772
2025-05-14 08:53:24.008+02	2	0
2025-05-14 08:53:24.008+02	3	0
2025-05-14 08:53:24.025+02	1	2772
2025-05-14 08:53:24.026+02	2	0
2025-05-14 08:53:24.026+02	3	0
2025-05-14 08:53:24.044+02	1	2771
2025-05-14 08:53:24.045+02	2	0
2025-05-14 08:53:24.045+02	3	0
2025-05-14 08:53:24.064+02	1	2772
2025-05-14 08:53:24.065+02	2	0
2025-05-14 08:53:24.065+02	3	0
2025-05-14 08:53:24.08+02	1	2771
2025-05-14 08:53:24.081+02	2	0
2025-05-14 08:53:24.081+02	3	0
2025-05-14 08:53:24.102+02	1	2773
2025-05-14 08:53:24.103+02	2	0
2025-05-14 08:53:24.103+02	3	0
2025-05-14 08:53:24.121+02	1	2771
2025-05-14 08:53:24.122+02	2	0
2025-05-14 08:53:24.122+02	3	0
2025-05-14 08:53:24.139+02	1	2772
2025-05-14 08:53:24.14+02	2	0
2025-05-14 08:53:24.14+02	3	0
2025-05-14 08:53:24.157+02	1	2771
2025-05-14 08:53:24.158+02	2	0
2025-05-14 08:53:24.158+02	3	0
2025-05-14 08:53:24.176+02	1	2772
2025-05-14 08:53:24.177+02	2	0
2025-05-14 08:53:24.177+02	3	0
2025-05-14 08:53:24.192+02	1	2772
2025-05-14 08:53:24.193+02	2	0
2025-05-14 08:53:24.193+02	3	0
2025-05-14 08:53:24.226+02	1	2773
2025-05-14 08:53:24.227+02	2	0
2025-05-14 08:53:24.227+02	3	0
2025-05-14 08:53:24.245+02	1	2768
2025-05-14 08:53:24.245+02	2	0
2025-05-14 08:53:24.245+02	3	0
2025-05-14 08:53:24.262+02	1	2772
2025-05-14 08:53:24.263+02	2	0
2025-05-14 08:53:24.263+02	3	0
2025-05-14 08:53:24.281+02	1	2771
2025-05-14 08:53:24.282+02	2	0
2025-05-14 08:53:24.282+02	3	0
2025-05-14 08:53:24.297+02	1	2773
2025-05-14 08:53:24.298+02	2	0
2025-05-14 08:53:24.298+02	3	0
2025-05-14 08:53:24.319+02	1	2772
2025-05-14 08:53:24.32+02	2	0
2025-05-14 08:53:24.32+02	3	0
2025-05-14 08:53:24.336+02	1	2772
2025-05-14 08:53:24.337+02	2	0
2025-05-14 08:53:24.337+02	3	0
2025-05-14 08:53:24.356+02	1	2771
2025-05-14 08:53:24.357+02	2	0
2025-05-14 08:53:24.357+02	3	0
2025-05-14 08:53:24.378+02	1	2771
2025-05-14 08:53:24.379+02	2	0
2025-05-14 08:53:24.379+02	3	0
